Japan,13.05
Korea,12.27
Russia,8.05
Germany,8
Austria,7.37
Hungary,7.02
Czech Republic,6.63
Poland,6.62
Lithuania,6.56
France,5.98
Slovakia,5.82
Belgium,5.76
Latvia,5.57
Hong Kong,
Estonia,4.69
Luxembourg,4.66
Switzerland,4.53
Slovenia,4.5
China,4.34
Greece,4.21
Australia,
Norway,3.6
Portugal,3.39
Netherlands,3.32
Finland,3.28
Italy,3.18
Iceland,3.06
Israel,3.02
Spain,2.97
Ireland,2.96
Turkey,2.81
United States,
New Zealand,2.71
Denmark,2.61
United Kingdom,2.54
Canada,2.52
Sweden,2.22
Chile,2.11
Colombia,1.7
India,0.53
Mexico,1.38
